year,China,,
1961,100,,
1962,72.7299999961115,-0.272700000038885,-27.2700000038885
1963,68.6716660034584,-0.0557999999019671,-5.57999999019671
1964,75.7448475993417,0.102999999963989,10.2999999963989
1965,89.5152608882212,0.181799999938203,18.1799999938203
1966,104.688097612239,0.169500000038703,16.9500000038703
1967,115.837380006286,0.106499999984172,10.6499999984172
1968,109.153563175229,-0.0577000000405199,-5.77000000405199
1969,104.678267099805,-0.0409999998647746,-4.09999998647746
1970,122.410765542389,0.169399999960612,16.9399999960612
1971,146.036043288034,0.192999999967024,19.2999999967024
1972,156.346187942032,0.0705999999853651,7.05999999853651
1973,162.302977702967,0.0381000000021972,3.81000000021972
1974,174.897688774085,0.0776000000084305,7.76000000084305
1975,178.937825389921,0.0231000000294744,2.31000000294744
1976,194.541203759413,0.0871999999748008,8.71999999748008
1977,191.486906857174,-0.0157000000165333,-1.57000000165333
1978,205.982465708912,0.0757000000138399,7.57000000138399
1979,229.311994434016,0.113259779878894,11.3259779878894
1980,246.719812461705,0.0759132468000874,7.59132468000874
1981,266.048200352943,0.0783414501591251,7.83414501591251
1982,279.650609222856,0.0511276109060975,5.11276109060975
1983,304.867023217169,0.0901711391381902,9.01711391381902
1984,337.701818993421,0.107702025065737,10.7702025065737
1985,389.003925986235,0.151915400236007,15.1915400236007
1986,441.249788827198,0.134306775204146,13.4306775204146
1987,480.741476212689,0.0894996176439109,8.94996176439109
1988,536.78356667379,0.116574277931257,11.6574277931257
1989,597.02461229432,0.11222594982521,11.222594982521
1990,622.137463671942,0.0420633435548258,4.20633435548258
1991,646.526816100939,0.039202513677681,3.9202513677681
1992,706.413212059605,0.0926278608516616,9.26278608516616
1993,806.897168454328,0.142245295924965,14.2245295924965
1994,918.924587066198,0.138837293017729,13.8837293017729
1995,1038.72300858212,0.130368066326745,13.0368066326745
1996,1152.50425268102,0.109539543419,10.9539543419
1997,1266.86214123199,0.0992255675282291,9.92255675282291
1998,1383.87940875109,0.0923677989187536,9.23677989187537
1999,1492.45791995605,0.0784595178729861,7.84595178729861
2000,1606.80484457325,0.0766165150040311,7.66165150040311
2001,1743.22407672927,0.0849009340597646,8.49009340597646
2002,1888.53458969275,0.0833573347817196,8.33573347817196
2003,2061.02636645042,0.0913363078966614,9.13363078966614
2004,2267.91282133697,0.100380304810393,10.0380304810393
2005,2497.28093726163,0.101136213776263,10.1136213776263
2006,2781.83590640886,0.113945918098927,11.3945918098927
2007,3135.71201874739,0.127209556654032,12.7209556654032
2008,3581.95083540083,0.142308609331955,14.2308609331955
2009,3927.6334095759,0.0965067891939362,9.65067891939362
2010,4296.78089759615,0.0939872563259673,9.39872563259674
2011,4753.78097378817,0.106358710644913,10.6358710644913
2012,5207.80661674124,0.0955083217877569,9.55083217877569
2013,5617.33480383563,0.078637364486211,7.8637364486211
2014,6053.58545619353,0.0776615009773009,7.76615009773009
2015,6503.11040490407,0.0742576365632412,7.42576365632412
2016,6961.01579586071,0.0704132887873656,7.04132887873656
2017,7437.75921476874,0.068487622049576,6.8487622049576
2018,7954.47528194216,0.0694720079331686,6.94720079331686
2019,8491.38437303504,0.067497738324959,6.7497738324959
2020,8996.66426414986,0.0595050075367414,5.95050075367414
2021,9198.06704115883,0.0223863835634638,2.23863835634638
2022,9975.16292207458,0.0844846941687276,8.44846941687276
2023,10269.4970548441,0.0295066992959267,2.95066992959267
